Model,AUC
0000101110110.pth,0.858835944
0101101100100.pth,0.858105366
0001111001100.pth,0.854533647
0001111100100.pth,0.852483968
0100111100100.pth,0.851611332
1100110000011.pth,0.744540953
1100100010011.pth,0.737783099
1100101001010.pth,0.72794058
1101011000010.pth,0.72615472
1100101000011.pth,0.723658576
0110000011011.pth,0.72288741
1011000010011.pth,0.722420651
1110010010001.pth,0.719173634
1001000111010.pth,0.718564819
1011000001011.pth,0.718260411
1010000111010.pth,0.71588603
1110010001001.pth,0.715581622
1100011100010.pth,0.714607517
1111010000001.pth,0.713714587
0110010010011.pth,0.713511649
1011010010010.pth,0.713430473
0110010001011.pth,0.712030197
1100111000010.pth,0.711746083
1010110000011.pth,0.710853154
1110011010000.pth,0.710264632
0110110010010.pth,0.707220554
1101101000010.pth,0.70667262
1010001110010.pth,0.705718808
1111100000001.pth,0.704967936
1011001010010.pth,0.703121195
1111100010000.pth,0.702552967
1111010001000.pth,0.700827989
1100010110001.pth,0.700645345
0111001010010.pth,0.696119815
1011000101010.pth,0.695308061
1110011001000.pth,0.691269584
1100110110000.pth,0.69124929
1011010100010.pth,0.691228996
0110101010010.pth,0.688022567
0100101001011.pth,0.685972887
1001011001010.pth,0.683760857
1110101000001.pth,0.682867928
1100010101001.pth,0.680392077
1101100100001.pth,0.680270314
0101010101010.pth,0.679884731
0101100010011.pth,0.67972238
1100011110000.pth,0.678281516
0100001110011.pth,0.677936521
1111101000000.pth,0.674851855
1010010011001.pth,0.67335011
0110011010001.pth,0.670711908
1001100101010.pth,0.669189869
0110000111001.pth,0.668073707
1001100100011.pth,0.667647536
0111010011000.pth,0.667464892
1010011011000.pth,0.665597857
1010101011000.pth,0.665536975
1010110010001.pth,0.665394918
1010001011001.pth,0.663893173
1001010011001.pth,0.660889683
0111010001001.pth,0.660767919
0111110000010.pth,0.660321455
0110110100010.pth,0.660118516
1000101100011.pth,0.657155613
0110100011001.pth,0.657054144
0000010111011.pth,0.656384447
1001101100010.pth,0.656303271
1001001110001.pth,0.65508564
0010100111010.pth,0.649281598
1000011110001.pth,0.647333387
0000110111010.pth,0.646724572
1011001010001.pth,0.646541927
0101110100010.pth,0.644086371
0101000111001.pth,0.642990502
1000101111000.pth,0.639256433
0110101011000.pth,0.638505561
0001010111010.pth,0.637876451
0001100011011.pth,0.634040912
1011001100001.pth,0.633878562
0110110100001.pth,0.628926861
0110100111000.pth,0.628886273
1000101110001.pth,0.628703629
0010001110011.pth,0.627465703
0001001011011.pth,0.62565955
0111001100001.pth,0.625050735
1011101000001.pth,0.62239224
1010101101000.pth,0.621905187
0100110110001.pth,0.620728144
0101101001001.pth,0.61786671
0010101001011.pth,0.615837324
1001111010000.pth,0.615309684
0000111001011.pth,0.61512704
0100011101001.pth,0.614132641
0110101101000.pth,0.613828233
0000011110011.pth,0.612732365
0010011101010.pth,0.612630895
1001110100001.pth,0.606116568
0001111010010.pth,0.605162757
0001010101011.pth,0.600718402
0011010110001.pth,0.594752009
0101110100001.pth,0.592458803
0001111000011.pth,0.591748519
1001011101000.pth,0.5904903
0001001110011.pth,0.590003247
0011111010000.pth,0.582190113
0011010011001.pth,0.579937495
0011001111000.pth,0.57275347
0010011110001.pth,0.57248965
0001111011000.pth,0.567030603
0011110001001.pth,0.56301242
0011101001001.pth,0.562565955
0010110101001.pth,0.555970452
0001101100011.pth,0.553677247
0010111100010.pth,0.55032876
0011100101001.pth,0.54653381
0010101110001.pth,0.543246205
0001110111000.pth,0.541927104
0000111110001.pth,0.530400195
0001110101001.pth,0.488716617
0001111101000.pth,0.454075006
