Model,AUC
0100101101010.pth,0.649200422
0101001011001.pth,0.646481046
0101100101010.pth,0.645709879
1011100001001.pth,0.643964608
1011000101001.pth,0.643863138
0011110010010.pth,0.643274616
1000011011001.pth,0.642970209
1001011011000.pth,0.642401981
0001110011010.pth,0.64171199
0111101000001.pth,0.638322916
0011100011010.pth,0.637389398
1000111110000.pth,0.636942934
0011000111010.pth,0.636882052
0100010111001.pth,0.635096193
0110001110001.pth,0.635015017
0010001111010.pth,0.634507671
0110001101001.pth,0.633898855
0110100110001.pth,0.633371215
0010111010010.pth,0.630530075
0100011111000.pth,0.628541278
0111111000000.pth,0.627323646
0111100100001.pth,0.624482507
0010111001010.pth,0.623833103
1010111001000.pth,0.62344752
0101101010001.pth,0.62255459
0101001111000.pth,0.622270476
1010101001001.pth,0.622067538
1011101100000.pth,0.620322266
1001100101001.pth,0.618719052
0110111100000.pth,0.618617583
0111110100000.pth,0.614660281
0001100111010.pth,0.614538518
0011100101010.pth,0.613199123
0010110100011.pth,0.612610602
1001001101001.pth,0.608572124
1011011001000.pth,0.608490949
0001110101010.pth,0.607699489
0010001101011.pth,0.600332819
0011110100010.pth,0.592113808
0011011000011.pth,0.590084422
1001111100000.pth,0.589353844
1001110101000.pth,0.588663853
0000011101011.pth,0.588602971
1001011100001.pth,0.588055037
0001101110010.pth,0.586796818
0000111110010.pth,0.58507184
0010011011001.pth,0.581905999
0011010111000.pth,0.580465135
0010111110000.pth,0.579409855
0011111000001.pth,0.568146765
0001110011001.pth,0.565285332
0011010101001.pth,0.563925643
0001101011001.pth,0.560069811
0011011001001.pth,0.557654842
0001100111001.pth,0.554833996
0001111100010.pth,0.549151717
0011011101000.pth,0.542718565
0011101100001.pth,0.53553454
0010101101001.pth,0.529466677
0000111101001.pth,0.459980518
