Model,AUC
0001101011100.pth,0.8731837
0110001100101.pth,0.872879292
0001100101110.pth,0.872635766
0110100100101.pth,0.872615472
1010101100100.pth,0.871458722
0111101000100.pth,0.871296371
0011100100101.pth,0.871113727
0111100001100.pth,0.869794626
0000110101110.pth,0.869266986
0101110010100.pth,0.867947885
0010000111101.pth,0.867420245
0010001011110.pth,0.867298482
0000111011100.pth,0.864010878
0111000101100.pth,0.863909408
0101101010100.pth,0.863889114
0110101001100.pth,0.863645588
0110001110100.pth,0.863178829
0110011010100.pth,0.862712071
0100100101110.pth,0.861108856
0100101101100.pth,0.858592418
0010111100100.pth,0.856157156
1110010001010.pth,0.746164461
1100011001010.pth,0.742836269
1101000100011.pth,0.742004221
1111000001010.pth,0.738432503
1010000011011.pth,0.738290446
1101100000011.pth,0.738290446
1100010100011.pth,0.735571069
1111010000010.pth,0.734150499
1100011010010.pth,0.728874097
1001000011011.pth,0.728813215
1101001001010.pth,0.727960873
1110001001010.pth,0.722319182
1101100100010.pth,0.716555727
1000110001011.pth,0.714790162
1111000001001.pth,0.71251725
1100100101010.pth,0.712456368
1110010011000.pth,0.711867846
1010000101011.pth,0.711116974
1001010110010.pth,0.709716698
1110000011001.pth,0.708823768
1100010011001.pth,0.706733501
1110001011000.pth,0.705759396
1000010101011.pth,0.703385015
0110001010011.pth,0.702735612
1001011010010.pth,0.702512379
0110010011010.pth,0.702492085
0110100011010.pth,0.701862976
1000011110010.pth,0.700584463
1101000110001.pth,0.700137998
1101010100001.pth,0.699691533
0111000010011.pth,0.699630652
1101000111000.pth,0.697682442
1110110010000.pth,0.69567335
1101010001001.pth,0.695632762
1100001011001.pth,0.692345158
1111000100001.pth,0.692263982
1101110000001.pth,0.691310171
1110000101001.pth,0.688022567
0101001001011.pth,0.687941391
1100110011000.pth,0.68761669
0101001010011.pth,0.687535514
1110011000001.pth,0.686317883
1001101001010.pth,0.684024677
1100110001001.pth,0.68388262
1100100111000.pth,0.682725871
1110100100001.pth,0.682076467
0111001000011.pth,0.680148551
0110100110010.pth,0.680026788
1000110011001.pth,0.679884731
0101100011010.pth,0.678585924
0110010101010.pth,0.678423573
0111000100011.pth,0.677104473
0110100101010.pth,0.676191249
1010011100010.pth,0.673431285
1011100110000.pth,0.67103661
1000001101011.pth,0.670833672
1110111000000.pth,0.670813378
0100111010010.pth,0.670752496
0101101010010.pth,0.670001624
1011000110001.pth,0.669027518
1011001011000.pth,0.668175177
0101010100011.pth,0.667769299
1010100011001.pth,0.666429905
1010010111000.pth,0.666409611
0100011101010.pth,0.665861677
0110110001001.pth,0.662777011
0110110011000.pth,0.662249371
0110101000011.pth,0.662066726
1010100111000.pth,0.660057635
0110010110001.pth,0.65987499
1010101110000.pth,0.658129718
1001010110001.pth,0.656810618
1011101010000.pth,0.655308872
0111001010001.pth,0.654395649
1010111010000.pth,0.65287361
1001110011000.pth,0.652325676
0000100111011.pth,0.648794545
0011000011011.pth,0.647495738
0010010011011.pth,0.645425765
0101111000010.pth,0.641630814
0010010110011.pth,0.640453771
0101101100010.pth,0.640311714
0010110110010.pth,0.638525854
0111001110000.pth,0.638221447
0010011011010.pth,0.636435587
0111010100001.pth,0.635197662
0101100011001.pth,0.63239711
1011010101000.pth,0.632315935
0011010010011.pth,0.632011527
0110011101000.pth,0.631362124
0101110001001.pth,0.626126309
0111001101000.pth,0.626085721
0110111000001.pth,0.624827502
0101110011000.pth,0.624157805
0111011100000.pth,0.623954866
0000101011011.pth,0.623346051
1011100100001.pth,0.62229077
0101110110000.pth,0.621296371
0110110101000.pth,0.621032551
1011011100000.pth,0.620565793
0110111001000.pth,0.619855508
0101011110000.pth,0.618150824
0010011110010.pth,0.617765241
0000110110011.pth,0.613868821
1001101001001.pth,0.609505642
0001110001011.pth,0.604208946
0001101010011.pth,0.592154396
1001011001001.pth,0.591464405
0101111100000.pth,0.590348243
0010010111001.pth,0.588460914
1000101101001.pth,0.588156506
0011001011001.pth,0.584747139
0010101100011.pth,0.583164218
0011010100011.pth,0.580972482
0010011100011.pth,0.57612225
0010100111001.pth,0.572367887
0010111001001.pth,0.571414076
0011101010001.pth,0.570906729
0001110110001.pth,0.570338502
0001011101010.pth,0.566401494
0000110111001.pth,0.561896258
0001011100011.pth,0.560719214
0001101101010.pth,0.553352545
0000111111000.pth,0.536244825
0010111100001.pth,0.526747301
0001111001001.pth,0.498782369
