Model,AUC
0101101011000.pth,0.62371134
0101100101001.pth,0.618516113
0001001111010.pth,0.618191412
0100101110001.pth,0.61697378
0000101111010.pth,0.608348892
0101101110000.pth,0.602828963
0001110110010.pth,0.600332819
0101111000001.pth,0.600251644
0101110101000.pth,0.59996753
1001101100001.pth,0.591931163
0001001101011.pth,0.586208296
0001011001011.pth,0.584868902
0100111101000.pth,0.584199204
0011000111001.pth,0.578354574
0010110110001.pth,0.576223719
0010011101001.pth,0.56832941
0011100110001.pth,0.566259437
0011011100010.pth,0.565975323
0000111100011.pth,0.561084504
0011011010001.pth,0.551343453
0010111101000.pth,0.547365858
0001011110001.pth,0.543104148
